CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
13469,56,Female,42,11,0,10,Premium,Quarterly,793,15,0
20119,54,Male,60,5,3,9,Standard,Quarterly,610,24,0
48412,31,Male,12,2,9,7,Basic,Annual,222,30,1
42126,33,Female,22,17,5,25,Premium,Monthly,648,20,1
55120,39,Female,28,30,2,25,Premium,Monthly,983,22,1
47576,24,Female,16,9,1,30,Basic,Monthly,694,22,1
62889,43,Female,58,7,0,23,Standard,Quarterly,273,9,1
33921,42,Male,50,20,3,13,Standard,Quarterly,976,4,0
20862,54,Female,15,25,4,13,Basic,Quarterly,944,21,0
5047,18,Female,29,7,7,2,Premium,Annual,444,11,0
50728,49,Female,13,13,7,22,Basic,Annual,339,9,1
51844,53,Female,38,3,1,29,Premium,Quarterly,291,7,1
20744,53,Female,54,26,5,11,Basic,Annual,572,3,0
55065,20,Female,32,26,9,18,Standard,Annual,554,27,1
30966,58,Female,39,13,4,10,Basic,Monthly,750,18,0
19536,50,Female,35,24,7,26,Basic,Quarterly,882,25,1
15461,50,Male,8,10,1,1,Premium,Quarterly,368,22,0
51267,51,Male,24,11,5,22,Standard,Monthly,127,15,1
48111,34,Female,35,14,10,22,Basic,Annual,899,4,1
52407,21,Female,31,25,2,21,Basic,Monthly,103,29,1
11624,21,Male,34,26,10,12,Basic,Quarterly,479,16,0
64187,41,Female,41,13,7,27,Basic,Annual,150,17,1
22597,61,Female,48,19,7,28,Standard,Monthly,811,12,1
60195,56,Female,39,1,5,12,Basic,Quarterly,492,11,1
17285,64,Male,48,20,3,22,Standard,Quarterly,992,29,0
59089,44,Female,42,4,8,23,Basic,Monthly,391,7,1
62313,43,Female,2,3,10,19,Basic,Quarterly,731,24,1
30801,62,Female,15,28,2,2,Premium,Monthly,540,9,0
33944,28,Female,26,9,7,19,Standard,Monthly,930,20,1
49033,18,Female,55,4,6,29,Standard,Monthly,188,30,1
58480,50,Female,58,20,7,25,Standard,Monthly,976,9,1
8454,61,Male,13,29,0,8,Basic,Quarterly,788,18,0
34720,36,Female,51,23,3,5,Standard,Quarterly,786,15,0
9438,25,Male,9,22,9,24,Standard,Annual,307,20,0
19314,44,Female,52,25,6,18,Premium,Monthly,330,2,1
9615,36,Female,1,19,1,4,Basic,Annual,940,12,0
52490,62,Male,52,4,10,1,Basic,Annual,675,25,1
37816,64,Female,41,15,2,3,Basic,Monthly,432,28,0
46080,53,Female,10,27,2,29,Basic,Monthly,141,2,1
16340,56,Female,2,24,2,21,Standard,Annual,909,28,0
58361,51,Female,39,27,6,22,Premium,Quarterly,503,20,1
63871,27,Female,25,3,6,30,Premium,Monthly,876,15,1
7475,55,Female,1,7,7,27,Basic,Monthly,577,27,1
31582,32,Male,37,3,10,26,Premium,Quarterly,824,7,1
51558,53,Female,56,5,7,20,Standard,Monthly,561,10,1
63932,36,Female,25,2,4,27,Basic,Monthly,486,24,1
60707,65,Male,56,16,7,29,Premium,Annual,105,7,1
64170,49,Female,49,27,6,22,Standard,Annual,287,19,1
60166,63,Female,17,6,3,23,Standard,Monthly,450,6,1
47054,62,Female,51,22,2,26,Premium,Monthly,426,2,1
54189,61,Male,55,2,10,1,Basic,Monthly,113,12,1
58109,43,Female,14,30,6,21,Basic,Annual,432,6,1
63884,32,Male,24,27,8,24,Premium,Quarterly,386,15,1
1115,48,Female,22,18,4,5,Basic,Annual,391,8,0
55012,60,Male,1,4,6,22,Basic,Monthly,436,28,1
38477,20,Female,29,27,0,16,Basic,Quarterly,337,21,0
43534,48,Female,1,1,5,27,Standard,Quarterly,566,25,0
34598,24,Female,52,10,1,13,Standard,Monthly,214,13,0
25883,21,Male,28,27,3,7,Premium,Annual,275,24,0
38389,29,Male,29,15,3,13,Basic,Quarterly,651,14,0
59295,62,Female,57,8,5,19,Premium,Annual,992,22,1
38145,48,Female,26,26,5,28,Basic,Quarterly,732,4,1
39480,50,Male,15,8,9,1,Standard,Monthly,946,6,0
30059,37,Female,21,27,9,24,Premium,Quarterly,818,26,0
31605,50,Female,25,18,8,22,Basic,Annual,655,10,1
2280,48,Female,34,12,4,29,Premium,Quarterly,509,6,0
35073,32,Female,40,22,1,22,Basic,Annual,646,30,0
41176,32,Female,2,27,2,28,Basic,Monthly,594,6,1
52906,51,Male,48,29,10,18,Standard,Annual,444,11,1
48669,63,Female,38,4,9,10,Premium,Monthly,189,9,1
49575,18,Female,29,6,10,30,Basic,Monthly,698,30,1
57702,50,Female,7,16,2,27,Standard,Monthly,297,28,1
35667,20,Female,24,9,0,19,Premium,Monthly,963,17,0
55627,33,Female,44,30,10,23,Premium,Annual,833,28,1
45554,38,Female,22,8,9,28,Premium,Monthly,446,29,1
41944,46,Female,1,14,6,0,Standard,Annual,564,24,0
3211,43,Male,13,21,2,20,Basic,Monthly,413,6,0
6130,64,Female,60,13,6,14,Basic,Quarterly,664,1,0
61408,52,Female,37,20,1,24,Basic,Monthly,991,22,1
3844,61,Female,23,3,5,10,Basic,Monthly,770,20,1
52503,55,Female,13,5,6,21,Premium,Monthly,797,15,1
43294,65,Male,28,27,1,5,Basic,Quarterly,227,21,0
58120,41,Female,51,28,0,27,Standard,Monthly,614,14,1
57338,41,Female,12,10,9,25,Standard,Monthly,706,21,1
8932,64,Female,6,28,7,0,Basic,Quarterly,455,16,0
60795,24,Male,50,1,10,20,Standard,Quarterly,967,12,1
38383,57,Female,32,9,0,10,Premium,Quarterly,296,29,0
3392,20,Male,27,9,2,4,Basic,Quarterly,993,30,0
13553,42,Male,60,22,5,13,Standard,Quarterly,234,26,0
9015,45,Female,56,23,9,22,Basic,Quarterly,659,30,1
20651,29,Female,57,3,9,21,Basic,Monthly,404,8,1
27039,44,Female,48,11,9,5,Basic,Quarterly,176,11,0
20826,44,Female,21,22,9,7,Premium,Annual,658,26,0
47786,21,Female,42,22,7,19,Basic,Annual,686,6,1
22778,62,Female,50,19,6,8,Standard,Annual,872,6,0
21239,25,Male,10,23,10,11,Premium,Annual,789,27,0
7672,23,Male,28,9,3,16,Premium,Quarterly,495,14,0
39437,57,Male,40,14,3,4,Basic,Annual,515,29,0
55801,47,Male,31,5,10,26,Basic,Monthly,305,26,1
42903,27,Female,19,3,2,23,Standard,Annual,623,11,0
5793,53,Male,14,8,5,27,Standard,Quarterly,881,25,0
